statement,label_name,display_label,target,fake_probability,predicted_target,predicted_label,confidence,correct,error_type,split
The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners.,false,Fake,1,0.13430850207805634,0,Real,0.8656914979219437,False,false_negative_fake_as_real,test
"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",pants-fire,Fake,1,0.1347413808107376,0,Real,0.8652586191892624,False,false_negative_fake_as_real,test
"Unfortunately, since Mr. Fosters been mayor ... there are less people employed in the city of St. Petersburg than there were prior to his taking office.",false,Fake,1,0.13690926134586334,0,Real,0.8630907386541367,False,false_negative_fake_as_real,test
"""Even with recent changes, the average hourly wage at General Motors is still $75 an hour.""",false,Fake,1,0.1372116059064865,0,Real,0.8627883940935135,False,false_negative_fake_as_real,test
"Vern Buchanan. His old business was caught illegally funneling over $60,000 in campaign donations to Buchanan to influence his election.",mostly-true,Real,0,0.8606489896774292,1,Fake,0.8606489896774292,False,false_positive_real_as_fake,test
The governor has made a commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back.,pants-fire,Fake,1,0.1401163935661316,0,Real,0.8598836064338684,False,false_negative_fake_as_real,test
"Says in 2003 Texas cut $10 billion out of the entire budget, yet we put $1.8 billion more into public education. We put $800 million more into health and human services.",barely-true,Fake,1,0.14265014231204987,0,Real,0.8573498576879501,False,false_negative_fake_as_real,test
Says Barack Obama promised to halve the deficit in his first term.,true,Real,0,0.857190728187561,1,Fake,0.857190728187561,False,false_positive_real_as_fake,test
"""Across the country, more than half of the U.S. attorney seats remain without a prosecutor chosen by Obama.""",barely-true,Fake,1,0.14323145151138306,0,Real,0.8567685484886169,False,false_negative_fake_as_real,test
On federal stimulus money for expanding rail service.,true,Real,0,0.8532519340515137,1,Fake,0.8532519340515137,False,false_positive_real_as_fake,test
"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year.",barely-true,Fake,1,0.14778274297714233,0,Real,0.8522172570228577,False,false_negative_fake_as_real,test
"In Ohio, each year an estimated 1,000 children become victims of human trafficking, and over 3,000 more are at risk.",barely-true,Fake,1,0.149993434548378,0,Real,0.850006565451622,False,false_negative_fake_as_real,test
Sixteen [federal] programs exist to fight homelessness and some of them are duplicative.,mostly-true,Real,0,0.8495761752128601,1,Fake,0.8495761752128601,False,false_positive_real_as_fake,test
Caution: Kissing and cuddling chickens can be hazardous to your health.,true,Real,0,0.8485706448554993,1,Fake,0.8485706448554993,False,false_positive_real_as_fake,test
On whether the government should bail out insurance giant AIG.,half-true,Real,0,0.847908079624176,1,Fake,0.847908079624176,False,false_positive_real_as_fake,test
"President Barack Obamas veto of the Keystone XL pipeline killed 42,000 jobs.",half-true,Real,0,0.8471128940582275,1,Fake,0.8471128940582275,False,false_positive_real_as_fake,test
Rooting for the Red Sox is like rooting for the drug companies.,true,Real,0,0.8445941805839539,1,Fake,0.8445941805839539,False,false_positive_real_as_fake,test
"Says if you try to hide marijuana in a hemp field, it becomes worthless. The THC goes away.",mostly-true,Real,0,0.8431680202484131,1,Fake,0.8431680202484131,False,false_positive_real_as_fake,test
This is the first time in the history that weve had the raising of a debt limit also with spending cuts.,false,Fake,1,0.15790998935699463,0,Real,0.8420900106430054,False,false_negative_fake_as_real,test
Sayvideo shows massive alligator strolling across Florida golf course.,true,Real,0,0.8401644229888916,1,Fake,0.8401644229888916,False,false_positive_real_as_fake,test
"Stimulus tax cuts ""began showing up in paychecks of 4.8 million Indiana households about three months ago.""",false,Fake,1,0.15994681417942047,0,Real,0.8400531858205795,False,false_negative_fake_as_real,test
Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,half-true,Real,0,0.8385290503501892,1,Fake,0.8385290503501892,False,false_positive_real_as_fake,test
The Obama administration is refusing to directly arm the Kurds.,mostly-true,Real,0,0.8368155360221863,1,Fake,0.8368155360221863,False,false_positive_real_as_fake,test
"Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.",false,Fake,1,0.16432873904705048,0,Real,0.8356712609529495,False,false_negative_fake_as_real,test
Heroin .. pours across our southern borders.,true,Real,0,0.8348029255867004,1,Fake,0.8348029255867004,False,false_positive_real_as_fake,test
"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.",mostly-true,Real,0,0.834462583065033,1,Fake,0.834462583065033,False,false_positive_real_as_fake,test
Says Charlie Crist implemented Jeb Bushs A+ Plan.,true,Real,0,0.8324958682060242,1,Fake,0.8324958682060242,False,false_positive_real_as_fake,test
"Proposed gun control legislation will outlaw practically every firearm, make you pay $100 per firearm, put you into a police database and make it nearly impossible to get a permit to carry a concealed weapon.",barely-true,Fake,1,0.16773678362369537,0,Real,0.8322632163763046,False,false_negative_fake_as_real,test
"Since the beginning of the year weve created a net increase of 45,000 jobs.",barely-true,Fake,1,0.1691875159740448,0,Real,0.8308124840259552,False,false_negative_fake_as_real,test
Says Mark Pryorcut Medicare to pay for Obamacare.,half-true,Real,0,0.8305111527442932,1,Fake,0.8305111527442932,False,false_positive_real_as_fake,test
Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.,true,Real,0,0.8303778171539307,1,Fake,0.8303778171539307,False,false_positive_real_as_fake,test
"A mailer from the Obama campaign ""accurately indicates"" that Hillary Clinton would ""force uninsured people to buy insurance, even if they can't afford it.""",half-true,Real,0,0.8302342295646667,1,Fake,0.8302342295646667,False,false_positive_real_as_fake,test
"Says Rick Scott took $200,000 in campaign contributions from a company that profited off pollution.",half-true,Real,0,0.8301964402198792,1,Fake,0.8301964402198792,False,false_positive_real_as_fake,test
"We have trade agreements with 20 countries, and we have trade surpluses with each one of those 20.",false,Fake,1,0.1707780957221985,0,Real,0.8292219042778015,False,false_negative_fake_as_real,test
The American Conservative Union gives [Rep. Tim] Ryan a dismal 0.0 percent rating for the billions he has contributed to our national debt.,barely-true,Fake,1,0.17153459787368774,0,Real,0.8284654021263123,False,false_negative_fake_as_real,test
"When Atlanta Police Chief George Turner was interim head of the department, overall crime fell 14 percent and violent crime dropped 22.7 percent.",barely-true,Fake,1,0.17329436540603638,0,Real,0.8267056345939636,False,false_negative_fake_as_real,test
Says the director of an anti-abortion group receiving a Texas grant to provide womens health services believes HIV can be spread through the sewer system.,mostly-true,Real,0,0.8261289000511169,1,Fake,0.8261289000511169,False,false_positive_real_as_fake,test
"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",true,Real,0,0.8257462978363037,1,Fake,0.8257462978363037,False,false_positive_real_as_fake,test
"Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.",false,Fake,1,0.17471270263195038,0,Real,0.8252872973680496,False,false_negative_fake_as_real,test
"Before I was state treasurer, my Rhode Island business helped create over 1,000 jobs.",true,Real,0,0.8252097964286804,1,Fake,0.8252097964286804,False,false_positive_real_as_fake,test
Says U.S. Rep. Connie Mack IV passed only one bill in seven years.,mostly-true,Real,0,0.8250094056129456,1,Fake,0.8250094056129456,False,false_positive_real_as_fake,test
Says David Prosser = Scott Walker.,half-true,Real,0,0.8245378136634827,1,Fake,0.8245378136634827,False,false_positive_real_as_fake,test
"In early voting in Miami-Dade County, there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.",false,Fake,1,0.17661158740520477,0,Real,0.8233884125947952,False,false_negative_fake_as_real,test
We know there are more Democrats in Georgia than Republicans. We know that for a fact.,barely-true,Fake,1,0.17666654288768768,0,Real,0.8233334571123123,False,false_negative_fake_as_real,test
"Says Daniel Webster wants to make divorce illegal, even for abused wives.",half-true,Real,0,0.8226237893104553,1,Fake,0.8226237893104553,False,false_positive_real_as_fake,test
A recall election for Wisconsin governor would cost $7.7 million -- $7.7 million that may already be allocated to merit raises for teachers or health care for the poor or school books for your kids.,half-true,Real,0,0.8218848705291748,1,Fake,0.8218848705291748,False,false_positive_real_as_fake,test
"The Democrat majority in the Senate has failed to submit [a] budget in the past 1,000 days.",barely-true,Fake,1,0.17911918461322784,0,Real,0.8208808153867722,False,false_negative_fake_as_real,test
"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",false,Fake,1,0.18041126430034637,0,Real,0.8195887356996536,False,false_negative_fake_as_real,test
"When Tim Kaine was governor, spending soared, blowing holes in the budget every year.",barely-true,Fake,1,0.18178504705429077,0,Real,0.8182149529457092,False,false_negative_fake_as_real,test
"Even after Obamacare is fully implemented, there still will be tens of millions of people not covered.",true,Real,0,0.8173797130584717,1,Fake,0.8173797130584717,False,false_positive_real_as_fake,test
Hedge fund managers pay less in taxes than nurses and truck drivers.,false,Fake,1,0.18460537493228912,0,Real,0.8153946250677109,False,false_negative_fake_as_real,test
Uses headlines to portray Gov. Rick Perry as beholden to special interests.,mostly-true,Real,0,0.8144195079803467,1,Fake,0.8144195079803467,False,false_positive_real_as_fake,test
Jennifer Carrolls an outsider.,half-true,Real,0,0.8142232298851013,1,Fake,0.8142232298851013,False,false_positive_real_as_fake,test
Roy Barnes is like Barack Obama because theyre both doing a lot of apologizing.,half-true,Real,0,0.8137257695198059,1,Fake,0.8137257695198059,False,false_positive_real_as_fake,test
"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",barely-true,Fake,1,0.18645040690898895,0,Real,0.813549593091011,False,false_negative_fake_as_real,test
"Franklin Roosevelt never allocated more than 12 percent of GDP to federal spending, while the percentage for Barack Obama is not projected to drop below 22.8 percent.",barely-true,Fake,1,0.18652759492397308,0,Real,0.8134724050760269,False,false_negative_fake_as_real,test
Georgia is the Saudi Arabia of pine trees.,barely-true,Fake,1,0.18931345641613007,0,Real,0.8106865435838699,False,false_negative_fake_as_real,test
Beaverton enjoys the most diverse population (by percentage of population) among Oregon cities.,false,Fake,1,0.19018711149692535,0,Real,0.8098128885030746,False,false_negative_fake_as_real,test
"In many instances, (peoples) health care costs are more than their mortgage costs or their rent, which, by the way, is a first in American history.",barely-true,Fake,1,0.19171835482120514,0,Real,0.8082816451787949,False,false_negative_fake_as_real,test
Says Texas GOP platform calls for end to teaching critical thinking in public schools.,half-true,Real,0,0.8070911765098572,1,Fake,0.8070911765098572,False,false_positive_real_as_fake,test
Obamas mid-term approval ratings are similar to other presidents who went on to re-election.,half-true,Real,0,0.8055164217948914,1,Fake,0.8055164217948914,False,false_positive_real_as_fake,test
Sixteen million jobs were created under Ronald Reagans presidency.,true,Real,0,0.805339515209198,1,Fake,0.805339515209198,False,false_positive_real_as_fake,test
Every major religion is opposed to same-sex marriage.,half-true,Real,0,0.8047662377357483,1,Fake,0.8047662377357483,False,false_positive_real_as_fake,test
Donald Trump says that NATO is obsolete and that we need to get rid of NATO...,barely-true,Fake,1,0.19538186490535736,0,Real,0.8046181350946426,False,false_negative_fake_as_real,test
Proximity to high-voltage power lines lowers property values by as much as 30 percent.,half-true,Real,0,0.8044514060020447,1,Fake,0.8044514060020447,False,false_positive_real_as_fake,test
"In 2004, ""20 percent of U.S. households were getting about 75 percent of their income from the federal government. ... Another 20 percent were receiving almost 40 percent.""",barely-true,Fake,1,0.1957121342420578,0,Real,0.8042878657579422,False,false_negative_fake_as_real,test
I made a bunch of these promises during the campaign. ... Weve got about 60 percent done in three years.,false,Fake,1,0.1963188648223877,0,Real,0.8036811351776123,False,false_negative_fake_as_real,test
Nearly 20% of our residents are born abroad.,true,Real,0,0.8032598495483398,1,Fake,0.8032598495483398,False,false_positive_real_as_fake,test
Says that his transportation budget and Ohio Turnpike plan would make sure we have lower tolls than weve had through the history of the turnpike.,pants-fire,Fake,1,0.19701902568340302,0,Real,0.802980974316597,False,false_negative_fake_as_real,test
"""You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.""",half-true,Real,0,0.8025991320610046,1,Fake,0.8025991320610046,False,false_positive_real_as_fake,test
We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,barely-true,Fake,1,0.19790464639663696,0,Real,0.802095353603363,False,false_negative_fake_as_real,test
Measures taken by my administration have saved taxpayers $1 billion.,mostly-true,Real,0,0.8015144467353821,1,Fake,0.8015144467353821,False,false_positive_real_as_fake,test
"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",true,Real,0,0.8006190657615662,1,Fake,0.8006190657615662,False,false_positive_real_as_fake,test
Says the initial Portland plastic bag ban represented only a modest share of total single-use checkout bag use.,barely-true,Fake,1,0.20000307261943817,0,Real,0.7999969273805618,False,false_negative_fake_as_real,test
I think its seven or eight of the California system of universities dont even teach an American history course. Its not even available to be taught.,false,Fake,1,0.20004303753376007,0,Real,0.7999569624662399,False,false_negative_fake_as_real,test
All Aboard Florida is a 100 percent private venture. There is no state money involved.,barely-true,Fake,1,0.20142944157123566,0,Real,0.7985705584287643,False,false_negative_fake_as_real,test
"The Trans-Pacific Partnership was designed for China to come in, as they always do, through the back door and totally take advantage of everyone.",pants-fire,Fake,1,0.2016931176185608,0,Real,0.7983068823814392,False,false_negative_fake_as_real,test
There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,mostly-true,Real,0,0.7972596287727356,1,Fake,0.7972596287727356,False,false_positive_real_as_fake,test
Says the state is required pick up 70 percent of the cost of K-12 education.,barely-true,Fake,1,0.20356780290603638,0,Real,0.7964321970939636,False,false_negative_fake_as_real,test
"Citizens Property Insurance has over $500 billion worth of risk, with less than $10 billion worth of surplus.",barely-true,Fake,1,0.20359434187412262,0,Real,0.7964056581258774,False,false_negative_fake_as_real,test
Some of the wealthiest Americans are African-American now.,false,Fake,1,0.20454517006874084,0,Real,0.7954548299312592,False,false_negative_fake_as_real,test
Mitt Romney left Massachusetts $1 billion in debt.,false,Fake,1,0.20463037490844727,0,Real,0.7953696250915527,False,false_negative_fake_as_real,test
"When people enter the service, theres not a mental health evaluation.",true,Real,0,0.7941341996192932,1,Fake,0.7941341996192932,False,false_positive_real_as_fake,test
The transportation package passed by the General Assembly would impose the largest tax increase in Virginias history.,half-true,Real,0,0.7936424016952515,1,Fake,0.7936424016952515,False,false_positive_real_as_fake,test
Building a wall on the U.S.-Mexico border will take literally years.,true,Real,0,0.7926660180091858,1,Fake,0.7926660180091858,False,false_positive_real_as_fake,test
Were second only to Boston in college students per capita.,false,Fake,1,0.2076728194952011,0,Real,0.7923271805047989,False,false_negative_fake_as_real,test
"Obama worked with ""Sen. Dick Lugar, a Republican, to help lock down loose nuclear weapons.""",true,Real,0,0.7921662926673889,1,Fake,0.7921662926673889,False,false_positive_real_as_fake,test
"""Senator Obama has voted 94 times to either increase your taxes or against tax cuts.""",false,Fake,1,0.20809093117713928,0,Real,0.7919090688228607,False,false_negative_fake_as_real,test
Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,half-true,Real,0,0.7909023761749268,1,Fake,0.7909023761749268,False,false_positive_real_as_fake,test
"In the 513 days between Trayvon dying, and todays verdict, 11,106 African-Americans have been murdered by other African-Americans.",barely-true,Fake,1,0.20975278317928314,0,Real,0.7902472168207169,False,false_negative_fake_as_real,test
"""In just a few years in office, Sen. Obama has accumulated the most liberal voting record in the Senate.""",barely-true,Fake,1,0.21051591634750366,0,Real,0.7894840836524963,False,false_negative_fake_as_real,test
"McCain ""has opposed stem cell research.""",false,Fake,1,0.21052835881710052,0,Real,0.7894716411828995,False,false_negative_fake_as_real,test
"Barack Obama said in 2004 ""that he basically agreed with the way George Bush was conducting the war.""",half-true,Real,0,0.7885100245475769,1,Fake,0.7885100245475769,False,false_positive_real_as_fake,test
Ford is moving all of their small-car production to Mexico.,mostly-true,Real,0,0.7881530523300171,1,Fake,0.7881530523300171,False,false_positive_real_as_fake,test
"The federal government reviewed and verified his administrations numbers showing Wisconsin added 23,608 jobs in 2011.",half-true,Real,0,0.7880741953849792,1,Fake,0.7880741953849792,False,false_positive_real_as_fake,test
"Under the new health care law, if a landscaper wants to buy a new lawnmower, or a restaurant needs a new ice-maker, they have to report that to the feds.",true,Real,0,0.786815345287323,1,Fake,0.786815345287323,False,false_positive_real_as_fake,test
"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",true,Real,0,0.7864583134651184,1,Fake,0.7864583134651184,False,false_positive_real_as_fake,test
The music industry is the biggest export from Africa after oil and gas.,false,Fake,1,0.21384303271770477,0,Real,0.7861569672822952,False,false_negative_fake_as_real,test
Latina who enthusiastically supported Donald Trump on stage in Las Vegas in October 2015 has been deported.,pants-fire,Fake,1,0.2155904471874237,0,Real,0.7844095528125763,False,false_negative_fake_as_real,test
"Says kids who start in the ninth grade in the city of Newark this past September, 23 percent of them will graduate in four years.",pants-fire,Fake,1,0.2156895250082016,0,Real,0.7843104749917984,False,false_negative_fake_as_real,test
"""The permission to engage was given before the word RPG was ever used.""",half-true,Real,0,0.7833237648010254,1,Fake,0.7833237648010254,False,false_positive_real_as_fake,test
Half of children struck by cars near schools are hit by parents driving children to school.,false,Fake,1,0.2173987627029419,0,Real,0.7826012372970581,False,false_negative_fake_as_real,test
About 78 to 81 House Democrats are members of the Communist Party. ... Its called the Congressional Progressive Caucus.,pants-fire,Fake,1,0.21911057829856873,0,Real,0.7808894217014313,False,false_negative_fake_as_real,test
"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",barely-true,Fake,1,0.21952702105045319,0,Real,0.7804729789495468,False,false_negative_fake_as_real,test
Says his views on reparations for slavery are the same as Barack Obamas and Hillary Clintons.,mostly-true,Real,0,0.7784451842308044,1,Fake,0.7784451842308044,False,false_positive_real_as_fake,test
"Onion Creeks highest flow rate on a recent night of flooding was 120,000 cubic feet per second, which is nearly double the average flow rate of Niagara Falls.",barely-true,Fake,1,0.22327768802642822,0,Real,0.7767223119735718,False,false_negative_fake_as_real,test
Says President Obama and his National Labor Relations Board sued Boeing over its decision to open a plant in South Carolina.,half-true,Real,0,0.7757793068885803,1,Fake,0.7757793068885803,False,false_positive_real_as_fake,test
Says Denmarks suicide rate has been about twice as high as the United States over the past five decades.,barely-true,Fake,1,0.22491143643856049,0,Real,0.7750885635614395,False,false_negative_fake_as_real,test
"Says Texas has more than 80,000 abortions each year.",barely-true,Fake,1,0.22504693269729614,0,Real,0.7749530673027039,False,false_negative_fake_as_real,test
The Cleveland police has issued a stand down order to officers.,pants-fire,Fake,1,0.22607824206352234,0,Real,0.7739217579364777,False,false_negative_fake_as_real,test
On ending stop and frisk,half-true,Real,0,0.772145688533783,1,Fake,0.772145688533783,False,false_positive_real_as_fake,test
The [Obama] administrations regulatory assault on coal-fired energy has put thousands of Americans out of work,barely-true,Fake,1,0.2310599833726883,0,Real,0.7689400166273117,False,false_negative_fake_as_real,test
On his support for sharply limiting collective bargaining by public employees.,half-true,Real,0,0.7686135172843933,1,Fake,0.7686135172843933,False,false_positive_real_as_fake,test
"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",half-true,Real,0,0.7675406336784363,1,Fake,0.7675406336784363,False,false_positive_real_as_fake,test
The average age of the minimum wage worker is 35 years old.,barely-true,Fake,1,0.2337777018547058,0,Real,0.7662222981452942,False,false_negative_fake_as_real,test
"There is nothing in the current state public records law that prohibits sensitive or confidential business information from being just that, confidential.",true,Real,0,0.7654801607131958,1,Fake,0.7654801607131958,False,false_positive_real_as_fake,test
Democrats are cutting our school funding. Four times in the last 10 years before we came into office.,barely-true,Fake,1,0.2348610907793045,0,Real,0.7651389092206955,False,false_negative_fake_as_real,test
Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.,pants-fire,Fake,1,0.23509357869625092,0,Real,0.7649064213037491,False,false_negative_fake_as_real,test
Says Donald Trump and Mike Pence want to gamble with your retirement benefits in the stock market.,barely-true,Fake,1,0.23583397269248962,0,Real,0.7641660273075104,False,false_negative_fake_as_real,test
Female buffalo lead the herd.,mostly-true,Real,0,0.7637807726860046,1,Fake,0.7637807726860046,False,false_positive_real_as_fake,test
Virginia has made no progress on jobs since Bob McDonnell took office.,false,Fake,1,0.2379404902458191,0,Real,0.7620595097541809,False,false_negative_fake_as_real,test
"Even among second and third generation Muslims in the United States, theres no real assimilation.",false,Fake,1,0.23966671526432037,0,Real,0.7603332847356796,False,false_negative_fake_as_real,test
Rhode Islands exports have increased by 53 percent in the last two years.,true,Real,0,0.7598212957382202,1,Fake,0.7598212957382202,False,false_positive_real_as_fake,test
The Republican National Convention is a Super Bowl times four.,false,Fake,1,0.2420235276222229,0,Real,0.7579764723777771,False,false_negative_fake_as_real,test
I said no to these big bank bailouts.,true,Real,0,0.7579602003097534,1,Fake,0.7579602003097534,False,false_positive_real_as_fake,test
Says U.S. Rep. Michael McCaul is the sixth-richest person in Congress.,mostly-true,Real,0,0.7574206590652466,1,Fake,0.7574206590652466,False,false_positive_real_as_fake,test
"""John McCain intervened, which helped Airbus get that Pentagon contract.""",barely-true,Fake,1,0.24260161817073822,0,Real,0.7573983818292618,False,false_negative_fake_as_real,test
"Says Donald Trump said of women, And you can tell them to go f--- themselves.",pants-fire,Fake,1,0.24280382692813873,0,Real,0.7571961730718613,False,false_negative_fake_as_real,test
"The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.",barely-true,Fake,1,0.2447417825460434,0,Real,0.7552582174539566,False,false_negative_fake_as_real,test
Says more Republicans than Democrats voted for the Wall Street bailouts.,false,Fake,1,0.24554307758808136,0,Real,0.7544569224119186,False,false_negative_fake_as_real,test
"Its entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s In fact, its quite likely.",barely-true,Fake,1,0.24579906463623047,0,Real,0.7542009353637695,False,false_negative_fake_as_real,test
Says Newt Gingrich co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting Chinas brutal one-child policy.,pants-fire,Fake,1,0.24670889973640442,0,Real,0.7532911002635956,False,false_negative_fake_as_real,test
Rhode Islands unemployment insurance system is the most expensive such system in the country.,false,Fake,1,0.24685445427894592,0,Real,0.7531455457210541,False,false_negative_fake_as_real,test
Lorain is the poorest urban school district in the state of Ohio.,false,Fake,1,0.2469898760318756,0,Real,0.7530101239681244,False,false_negative_fake_as_real,test
David Perdue has never voted in a Republican primary until his name was on the ballot.,false,Fake,1,0.2477516382932663,0,Real,0.7522483617067337,False,false_negative_fake_as_real,test
"""Congresswoman Bachmann actually said we should be 'weaned' off our Social Security and Medicare. She wants to privatize Social Security and replace Medicare with some kind of voucher system.""",half-true,Real,0,0.7522192597389221,1,Fake,0.7522192597389221,False,false_positive_real_as_fake,test
"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq.",mostly-true,Real,0,0.7519545555114746,1,Fake,0.7519545555114746,False,false_positive_real_as_fake,test
A strong bipartisan majority in the House of Representatives voted to defund Obamacare.,false,Fake,1,0.24816328287124634,0,Real,0.7518367171287537,False,false_negative_fake_as_real,test
Says Republican recall challenger Jonathan Steitz failed to pay his taxes.,half-true,Real,0,0.7509323358535767,1,Fake,0.7509323358535767,False,false_positive_real_as_fake,test
"Its not true that since hes been the president, executions in Iran have increased by four times.",false,Fake,1,0.24985015392303467,0,Real,0.7501498460769653,False,false_negative_fake_as_real,test
"""He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' """,false,Fake,1,0.2513984739780426,0,Real,0.7486015260219574,False,false_negative_fake_as_real,test
Says my plan is a property tax cut.,half-true,Real,0,0.7485077977180481,1,Fake,0.7485077977180481,False,false_positive_real_as_fake,test
U.S. Rep. Connie Mack voted to raise his own pay several times.,half-true,Real,0,0.747981607913971,1,Fake,0.747981607913971,False,false_positive_real_as_fake,test
