row_id,article,reference_summary,generated_summary,rouge_1_f1,rouge_2_f1,rouge_l_f1,bleu_like
1736,The university investigated a funding round after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,university investigated a funding round to support expanding access.,university investigated a funding round to support expanding access,1.0,1.0,1.0,1.0
903,The startup announced a safety update after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,startup announced a safety update to support expanding access.,startup announced a safety update to support expanding access,1.0,1.0,1.0,1.0
1833,The research team reported a clinical study after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with reducing costs over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,research team reported a clinical study to support reducing costs.,research team reported a clinical study to support improving outcomes,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
105,The energy provider expanded a safety update after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with strengthening compliance over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,energy provider expanded a safety update to support strengthening compliance.,energy provider expanded a safety update to support improving operations,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
239,The hospital expanded a technology roadmap after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,hospital expanded a technology roadmap to support expanding access.,hospital expanded a technology roadmap to support improving outcomes,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1304,The university expanded a new policy after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with supporting citizens over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,university expanded a new policy to support supporting citizens.,university expanded a new policy to support improving outcomes,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1258,The research team reported a new policy after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with reducing costs over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,research team reported a new policy to support reducing costs.,research team reported a new policy to support improving outcomes,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
1514,The company investigated a sustainability plan after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,company investigated a sustainability plan to support expanding access.,company investigated a sustainability plan to support improving operations,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1831,The hospital published a product release after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with improving outcomes over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,hospital published a product release to support improving outcomes.,hospital published a product release to support reducing costs,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
618,The hospital reported a new policy after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,hospital reported a new policy to support expanding access.,hospital reported a new policy to support improving outcomes,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
532,The company launched a sustainability plan after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with boosting efficiency over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,company launched a sustainability plan to support boosting efficiency.,company launched a sustainability plan to support reducing costs,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
2213,The startup reported a service disruption after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with reducing costs over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,startup reported a service disruption to support reducing costs.,startup reported a service disruption to support improving outcomes,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
693,The government expanded a service disruption after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with supporting citizens over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,government expanded a service disruption to support supporting citizens.,government expanded a service disruption to support boosting efficiency,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
410,The city council announced a funding round after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with strengthening compliance over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,city council announced a funding round to support strengthening compliance.,city council announced a funding round to support strengthening compliance,1.0,1.0,1.0,1.0
1472,The city council launched a sustainability plan after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,city council launched a sustainability plan to support expanding access.,city council launched a sustainability plan to support improving operations,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
1590,The startup published a safety update after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with supporting citizens over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,startup published a safety update to support supporting citizens.,startup published a safety update to support expanding access,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
940,The government investigated a service disruption after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with improving outcomes over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,government investigated a service disruption to support improving outcomes.,government investigated a service disruption to support improving operations,0.8888888888888888,0.875,0.8888888888888888,0.8819171036881968
443,The research team confirmed a safety update after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with reducing costs over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,research team confirmed a safety update to support reducing costs.,research team confirmed a safety update to support expanding access,0.8000000000000002,0.7777777777777778,0.8000000000000002,0.7888106377466155
2095,The government announced a funding round after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with improving outcomes over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,government announced a funding round to support improving outcomes.,government announced a funding round to support reducing costs,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
1737,The hospital investigated a sustainability plan after several months of internal review and consultation with stakeholders. Officials said the decision is expected to help with expanding access over the next few quarters. Additional commentary noted that implementation will happen in phases and that teams will monitor risks closely.,hospital investigated a sustainability plan to support expanding access.,hospital investigated a sustainability plan to support boosting efficiency,0.7777777777777778,0.75,0.7777777777777778,0.7637626158259734
